Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
103654.57+360341.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.5985164661	0	0	0	0	0	5.03	0	1.4	1
103725.33+051403.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5852142193	0	0	0	0	0	15.31	0	1.4	1
103739.33+042401.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.8234463455	0	0	0	0	0	165.66	0	1.4	1
103745.85+061301.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7326878242	0	0	0	15.489	0.22	1.63	0	1.4	1
103758.63+375840.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.2912580764	0	0	0	0	0	2.21	0	1.4	1
103825.58+403713.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.479033634	0	0	0	0	0	11.89	0	1.4	1
103845.52+022130.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.1200300316	0	0	0	0	0	1.11	0	1.4	1
103848.12+372924.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.3356596199	0	0	0	15.262	0.135	17.47	0	1.4	1
103848.14+395028.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.6673508931	0	0	0	0	0	12.67	0	1.4	1
103848.25+421856.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.3167936298	0	0	0	0	0	1.05	0	1.4	1
103849.35+343338.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.2644037421	0	0	0	0	0	4.63	0	1.4	1
103853.43+435342.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3693491225	0	0	0	0	0	3.45	0	1.4	1
103901.05+440643.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7518604869	0	0	0	0	0	1.65	0	1.4	1
103918.21+355901.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7355972227	0	0	0	0	0	1.58	0	1.4	1
103933.31-021244.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5889244843	0	0	0	0	0	64.42	0	1.4	1
103954.20+345207.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.8898173142	0	0	0	0	0	1.16	0	1.4	1
103958.20+061119.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7895029432	0	0	0	0	0	1.95	0	1.4	1
103959.45+362038.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5256605259	0	0	0	0	0	20.08	0	1.4	1
104002.38+430930.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8826680196	0	0	0	0	0	1.72	0	1.4	1
104042.07+365410.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6362590408	0	0	0	0	0	49.19	0	1.4	1
104059.79+055524.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.4880387814	0	0	0	0	0	40.21	0	1.4	1
104119.80-030859.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7743325513	0	0	0	0	0	4.63	0	1.4	1
104120.08-023441.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5465451594	0	0	0	0	0	2.29	0	1.4	1
104126.41+351004.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.8135531085	0	0	0	0	0	7.26	0	1.4	1
104139.66+365925.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.5215191949	0	0	0	15.453	0.181	1.2	0	1.4	1
104142.73-000616.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.718287484	0	0	0	0	0	1.77	0	1.4	1
104156.18+343632.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6737508747	0	0	0	0	0	39.27	0	1.4	1
104205.15+405154.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.4460360567	0	0	0	0	0	1.0	0	1.4	1
104229.18+381111.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.2164479621	0	0	0	15.576	0.207	11.39	0	1.4	1
104247.30+035256.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6610426683	0	0	0	0	0	1.98	0	1.4	1
104325.68+345128.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.2354563508	0	0	0	0	0	1.51	0	1.4	1
104359.67+022244.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5694341812	0	0	0	0	0	6.96	0	1.4	1
104408.07+432537.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.9217204072	0	0	0	0	0	29.33	0	1.4	1
104410.59+350910.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.2899275833	0	0	0	0	0	159.69	0	1.4	1
104459.60+365605.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	16.8122908384	0	0	0	14.335	0.072	14.61	0	1.4	1
104513.45+344711.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.6116106915	0	0	0	0	0	3.18	0	1.4	1
104541.01+344043.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.4823709023	0	0	0	15.556	0.168	20.35	0	1.4	1
104554.22-014549.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5434601699	0	0	0	0	0	9.96	0	1.4	1
104620.18+342708.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.7360998588	0	0	0	15.685	0.165	35.95	0	1.4	1
104628.86+392256.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.4541053051	0	0	0	0	0	7.52	0	1.4	1
104639.08+451928.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8850205389	0	0	0	0	0	6.69	0	1.4	1
104645.61+034936.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5130133419	0	0	0	0	0	113.75	0	1.4	1
104704.82+403140.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.7357619277	0	0	0	0	0	2.96	0	1.4	1
104713.16+353115.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.6807724395	0	0	0	0	0	28.31	0	1.4	1
104716.50+360654.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.2222986287	0	0	0	15.249	0.121	3.88	0	1.4	1
104718.83+433438.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5217911839	0	0	0	0	0	1.14	0	1.4	1
104739.80+381906.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.0255447418	0	0	0	0	0	5.42	0	1.4	1
104837.32+011057.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.5822607515	0	0	0	0	0	2.87	0	1.4	1
104845.83+353110.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.7397251918	0	0	0	15.229	0.106	1.17	0	1.4	1
104909.81+373759.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.0698139718	0	0	0	0	0	55.49	0	1.4	1
104915.40+031828.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7353052449	0	0	0	0	0	63.95	0	1.4	1
104937.65-015224.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.1402953044	0	0	0	0	0	8.41	0	1.4	1
105044.27+060958.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.530556816	0	0	0	0	0	13.49	0	1.4	1
105138.65+433921.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.521194423	0	0	0	0	0	2.5	0	1.4	1
105139.59+033838.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.9880576776	0	0	0	0	0	6.83	0	1.4	1
105140.83-010542.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6811061939	0	0	0	0	0	2.78	0	1.4	1
105216.79+414635.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.9742014842	0	0	0	0	0	3.19	0	1.4	1
105237.90+042406.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.1986274194	0	0	0	0	0	207.41	0	1.4	1
105237.97-003628.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7244949634	0	0	0	0	0	3.48	0	1.4	1
105301.27+350445.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.9137597426	0	0	0	0	0	1.7	0	1.4	1
105322.95+382915.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8329565231	0	0	0	0	0	2.17	0	1.4	1
105327.92+375804.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.640449616	0	0	0	0	0	2.85	0	1.4	1
105330.31+070928.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2033861892	0	0	0	0	0	21.54	0	1.4	1
105336.02+000735.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.8884049237	0	0	0	0	0	24.57	0	1.4	1
105407.13-012342.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6636604663	0	0	0	0	0	58.77	0	1.4	1
105429.21+013736.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.0575440331	0	0	0	0	0	42.77	0	1.4	1
105431.89+385521.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.1698377051	0	0	0	15.965	0.217	72.06	0	1.4	1
105432.42+392812.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2502670346	0	0	0	0	0	92.1	0	1.4	1
105435.30-015051.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.5959062982	0	0	0	0	0	2.14	0	1.4	1
105440.98-002048.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.6004189407	0	0	0	15.104	0.16	1.1	0	1.4	1
105451.69+033157.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.9142763827	0	0	0	0	0	2.59	0	1.4	1
105458.86-023947.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	16.9922980588	0	0	0	13.067	0.029	4.52	0	1.4	1
105651.30+413809.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.395648314	0	0	0	0	0	1.56	0	1.4	1
105713.25-013913.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.2809390733	0	0	0	15.387	0.192	21.28	0	1.4	1
105727.87+063246.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3859218142	0	0	0	0	0	29.38	0	1.4	1
105750.03+353300.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.586703668	0	0	0	15.357	0.159	2.13	0	1.4	1
105754.89+350408.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.4036328307	0	0	0	0	0	12.43	0	1.4	1
105802.51+401711.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8436011962	0	0	0	0	0	1.68	0	1.4	1
105830.84+370344.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.4637365145	0	0	0	0	0	3.73	0	1.4	1
105919.42+071617.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.1309939255	0	0	0	0	0	83.21	0	1.4	1
105951.90+405114.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.3010213487	0	0	0	15.696	0.206	107.39	0	1.4	1
105952.59+375616.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.9504492001	0	0	0	0	0	33.1	0	1.4	1
105955.83-004405.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8586285977	0	0	0	0	0	3.32	0	1.4	1
110037.15+375952.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7311865071	0	0	0	0	0	1.27	0	1.4	1
110050.10+421314.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.5387132533	0	0	0	0	0	1.19	0	1.4	1
110116.04+365801.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7677946132	0	0	0	0	0	31.52	0	1.4	1
110138.04+383335.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.4646594518	0	0	0	0	0	6.64	0	1.4	1
110148.94-014539.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.8777049845	0	0	0	0	0	22.72	0	1.4	1
110149.68+371035.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6358689372	0	0	0	0	0	6.07	0	1.4	1
110204.62+353649.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7904469249	0	0	0	0	0	10.2	0	1.4	1
110231.34+385829.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.6027369742	0	0	0	0	0	1.84	0	1.4	1
110243.41-002320.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.0072770503	0	0	0	0	0	48.7	0	1.4	1
110343.60+411308.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7999498214	0	0	0	0	0	174.72	0	1.4	1
110344.53+023209.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.4391271419	0	0	0	0	0	163.41	0	1.4	1
110401.59+002449.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8970090236	0	0	0	0	0	2.5	0	1.4	1
110401.92+334200.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2306301024	0	0	0	0	0	8.1	0	1.4	1
110413.69-004436.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.2036005768	0	0	0	0	0	25.07	0	1.4	1
110418.09+002728.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.7848133018	0	0	0	0	0	4.02	0	1.4	1
110421.85+022728.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.1184668358	0	0	0	0	0	19.54	0	1.4	1
110539.22-022855.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.7091045434	0	0	0	0	0	1.37	0	1.4	1
110549.77-020603.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.4397179715	0	0	0	0	0	1.26	0	1.4	1
110557.06+361448.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.7481158961	0	0	0	0	0	8.65	0	1.4	1
110659.28+005539.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8859286016	0	0	0	0	0	2.94	0	1.4	1
110706.91-003356.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8166181871	0	0	0	0	0	34.56	0	1.4	1
110748.61+414539.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.5248357615	0	0	0	0	0	37.47	0	1.4	1
110817.50+334455.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5876179199	0	0	0	0	0	1.33	0	1.4	1
110900.72+392554.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3039396857	0	0	0	0	0	35.88	0	1.4	1
110904.69+345401.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.8367417712	0	0	0	0	0	5.75	0	1.4	1
110912.87-023403.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.9764471285	0	0	0	0	0	44.77	0	1.4	1
110948.61+412958.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.0525184195	0	0	0	0	0	2.1	0	1.4	1
111006.79+405000.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.3582537307	0	0	0	0	0	1.04	0	1.4	1
111028.37+334420.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.4912687077	0	0	0	0	0	1.12	0	1.4	1
111038.46+421715.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.2756981124	0	0	0	14.562	0.104	2.85	0	1.4	1
111055.21+430510.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.5949403111	0	0	0	14.8	0.122	1.28	0	1.4	1
111106.52+380424.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2193565968	0	0	0	0	0	6.49	0	1.4	1
111137.99+412159.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7381441671	0	0	0	0	0	1.11	0	1.4	1
111140.91+421859.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7885235614	0	0	0	0	0	40.57	0	1.4	1
111238.77+344639.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.2956501455	0	0	0	0	0	181.57	0	1.4	1
111255.31+385430.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.4240060215	0	0	0	0	0	4.31	0	1.4	1
111255.43+405207.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.3389251789	0	0	0	0	0	2.71	0	1.4	1
111310.63-002242.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.8579860128	0	0	0	15.216	0.156	1.71	0	1.4	1
111311.72-002553.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.7074056597	0	0	0	0	0	1.07	0	1.4	1
111326.88+031524.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2742608385	0	0	0	0	0	4.79	0	1.4	1
111344.65+415609.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3621565243	0	0	0	0	0	1.11	0	1.4	1
111411.40+343336.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.4323364521	0	0	0	0	0	13.28	0	1.4	1
111447.44-014523.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3133751586	0	0	0	0	0	2.17	0	1.4	1
111554.51+383721.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.9708096252	0	0	0	0	0	2.33	0	1.4	1
111615.43+011551.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.2429538298	0	0	0	0	0	3.86	0	1.4	1
111618.70-010532.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3167857067	0	0	0	0	0	1.0	0	1.4	1
111644.51+012134.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6763995308	0	0	0	0	0	1.34	0	1.4	1
111650.60+412110.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.6134532309	0	0	0	0	0	2.86	0	1.4	1
111654.85+340103.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8691181868	0	0	0	0	0	1.47	0	1.4	1
111807.74+383521.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.790518077	0	0	0	0	0	6.03	0	1.4	1
111810.14+391323.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5704619408	0	0	0	0	0	2.31	0	1.4	1
111831.33+005105.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7562580435	0	0	0	0	0	1.85	0	1.4	1
111833.78+345740.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.0851974797	0	0	0	0	0	16.7	0	1.4	1
111945.09+025519.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.9750880602	0	0	0	0	0	2.32	0	1.4	1
112009.29+011112.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.887817998	0	0	0	0	0	15.43	0	1.4	1
112012.52-011927.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8281502048	0	0	0	0	0	1.35	0	1.4	1
112114.33+350400.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.9620720027	0	0	0	0	0	1.37	0	1.4	1
112155.78-002852.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.1543619071	0	0	0	0	0	63.28	0	1.4	1
112252.43+344419.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.7484569505	0	0	0	0	0	6.85	0	1.4	1
112316.92-011831.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.6887279856	0	0	0	0	0	3.45	0	1.4	1
112322.51+014305.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.8569095995	0	0	0	0	0	2.05	0	1.4	1
112343.17-010315.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.8759647441	0	0	0	0	0	2.09	0	1.4	1
112344.71+342546.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.4166221556	0	0	0	0	0	11.84	0	1.4	1
112357.47+340557.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.7632834393	0	0	0	0	0	2.98	0	1.4	1
112401.34-014535.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.3775775478	0	0	0	0	0	2.18	0	1.4	1
112403.45+381523.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.122628214	0	0	0	0	0	20.63	0	1.4	1
112440.74+023521.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5606644938	0	0	0	0	0	149.88	0	1.4	1
112500.47+333858.0	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.1720646565	0	0	0	0	0	120.94	0	1.4	1
112539.82+332629.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.3541533701	0	0	0	0	0	7.66	0	1.4	1
112541.87+005617.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.84086925	0	0	0	0	0	1.68	0	1.4	1
112549.09+344000.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.6880142258	0	0	0	0	0	5.03	0	1.4	1
112644.27+354956.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.1276145339	0	0	0	0	0	1.49	0	1.4	1
112644.90-021208.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5504498157	0	0	0	0	0	6.3	0	1.4	1
112714.09+032633.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2219632472	0	0	0	0	0	1.62	0	1.4	1
112735.25+343746.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.1365466288	0	0	0	0	0	2.9	0	1.4	1
112742.74+363429.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7282746178	0	0	0	0	0	1.31	0	1.4	1
112748.48+403144.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	18.2175911853	0	0	0	15.678	0.181	1.8	0	1.4	1
112752.31+011547.7	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.6817048558	0	0	0	0	0	6.82	0	1.4	1
112758.86+362028.3	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.5316499569	0	0	0	0	0	77.71	0	1.4	1
112854.38+400346.1	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.5477090063	0	0	0	0	0	4.04	0	1.4	1
112857.85+362250.2	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.8509130525	0	0	0	15.029	0.11	1.13	0	1.4	1
112939.48+354020.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.8942209327	0	0	0	0	0	2.21	0	1.4	1
112946.01-012140.5	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	17.6041028231	0	0	0	15.362	0.206	6.84	0	1.4	1
112952.92-024007.8	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.8657630117	0	0	0	0	0	38.49	0	1.4	1
112956.02+402514.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.7083312371	0	0	0	0	0	2.28	0	1.4	1
113002.71+354045.6	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	20.6013970072	0	0	0	0	0	5.39	0	1.4	1
113119.36+330549.4	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	19.6597768199	0	0	0	0	0	1.73	0	1.4	1
