Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
115156.01+443216.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.064	0.0	0.033	20.043	0.026	0	0	0	0	8.3181404472	0	1.4	1
115158.76+112515.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.038	0.0	0.018	18.393	0.018	0	0	16.905	16.905	2.31007589776	0	1.4	1
115158.90+122128.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.028	17.679	0.015	0	0	14.482	0.063	2.65966077871	0	1.4	1
115159.93+495056.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.022	18.4	0.02	0	0	0	0	3.83024230648	0	1.4	1
115201.12+102322.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.019	0.0	0.018	18.278	0.018	0	0	17.212	17.212	158.937452934	0	1.4	1
115201.30+240049.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.04	0.0	0.018	19.074	0.023	0	0	16.265	0.266	36.3434581516	0	1.4	1
115205.95+521114.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.03	0.0	0.015	18.679	0.017	0	0	14.812	0.085	1.80978193535	0	1.4	1
115212.60+031813.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.023	18.819	0.019	0	0	15.531	0.253	1.96981866784	0	1.4	1
115218.12+230301.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.013	17.946	0.016	0	0	15.56	0.211	1.21011389836	0	1.4	1
115219.73+134544.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.024	19.54	0.023	0	0	0	0	14.0483800904	0	1.4	1
115225.91+073357.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.036	0.0	0.014	19.712	0.022	0	0	0	0	57.8663712402	0	1.4	1
115227.48+320959.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.02	18.883	0.021	0	0	15.036	0.141	29.0286105515	0	1.4	1
115251.90+330718.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.017	0.0	0.021	16.036	0.029	0	0	14.511	0.099	187.251906828	0	1.4	1
115232.21+422759.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.041	0.0	0.019	17.819	0.014	0	0	14.157	0.056	3.26006492257	0	1.4	1
115232.86+493938.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.011	0.0	0.015	16.944	0.015	0	0	14.818	0.097	41.1174571891	0	1.4	1
115236.88+551604.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.033	0.0	0.029	18.387	0.015	0	0	15.88	0.231	2.010139737	0	1.4	1
115238.02+233333.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.015	18.344	0.019	0	0	16.916	16.916	126.248506421	0	1.4	1
115238.07+451143.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.029	0.0	0.024	19.176	0.02	0	0	17.508	17.508	5.13838035847	0	1.4	1
115242.53+033305.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.044	0.0	0.022	19.501	0.024	0	0	0	0	27.6965866091	0	1.4	1
115249.18+181846.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.061	0.0	0.02	19.084	0.018	0	0	17.502	17.502	119.461028342	0	1.4	1
115249.43+102739.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.017	0.0	0.028	17.423	0.022	0	0	15.308	0.195	2.88952362012	0	1.4	1
115253.09+150706.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.025	19.705	0.023	0	0	0	0	29.7869645746	0	1.4	1
115255.22+610604.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.058	18.457	0.016	0	0	15.222	0.172	2.14006147462	0	1.4	1
115258.76+293015.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.041	0.0	0.014	18.12	0.017	0	0	15.621	0.226	122.694825959	0	1.4	1
115307.67+201913.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.037	0.0	0.022	19.209	0.023	0	0	17.171	17.171	3.050887889	0	1.4	1
115312.55+091402.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.024	17.835	0.019	0	0	14.789	0.13	756.530164404	0	1.4	1
115313.06+565126.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.075	0.0	0.036	19.088	0.057	0	0	15.568	0.202	26.1111649863	0	1.4	1
115314.35+032658.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.131	0.0	0.035	20.101	0.029	0	0	0	0	2.08942241247	0	1.4	1
115317.87+164208.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.041	0.0	0.022	18.948	0.018	0	0	0	0	53.9543231714	0	1.4	1
115318.97+172707.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.041	0.0	0.021	18.992	0.018	0	0	0	0	54.5037330596	0	1.4	1
115324.46+493108.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.025	0.0	0.029	17.41	0.03	0	0	13.812	0.043	548.057655975	0	1.4	1
115326.70+361726.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.02	0.0	0.021	17.204	0.018	0	0	15.604	0.171	61.7200471144	0	1.4	1
115327.97+302013.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.043	0.0	0.021	19.419	0.019	0	0	0	0	9.87247968883	0	1.4	1
115336.41+422636.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.026	18.252	0.012	0	0	15.647	0.165	1.39967191668	0	1.4	1
115341.16+101754.0	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.011	0.0	0.035	16.373	0.013	0	0	13.219	0.041	1.96076817317	0	1.4	1
115344.74+403904.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.018	0.0	0.029	18.258	0.015	0	0	17.293	17.293	6.74879519596	0	1.4	1
115354.51+223329.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.026	18.951	0.019	0	0	16.298	0.295	2.65966077871	0	1.4	1
115354.66+403652.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.032	0.0	0.03	19.268	0.017	0	0	17.743	17.743	993.633554337	0	1.4	1
115356.61+303743.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.039	0.0	0.021	19.46	0.022	0	0	17.212	17.212	1.8898452739	0	1.4	1
115404.13+001419.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.019	17.954	0.019	0	0	16.617	16.617	1.46024675198	0	1.4	1
115419.88+154919.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.037	0.0	0.023	19.471	0.024	0	0	0	0	2.1698326953	0	1.4	1
115424.05+295124.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.023	18.965	0.02	0	0	17.867	17.867	3.26006492257	0	1.4	1
115424.24+384631.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.022	0.0	0.017	17.901	0.013	0	0	15.489	0.163	1.52063943494	0	1.4	1
115431.49+121427.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.024	0.0	0.025	18.01	0.024	0	0	14.976	0.126	1.33053483355	0	1.4	1
115437.43+114858.9	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.035	0.0	0.025	19.089	0.021	0	0	17.1	17.1	29.4053429524	0	1.4	1
115443.89+463029.1	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.058	0.0	0.024	20.066	0.022	0	0	0	0	11.3142624586	0	1.4	1
115446.22+290231.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.04	0.0	0.018	19.163	0.018	0	0	15.274	0.133	16.7042218367	0	1.4	1
115447.51+151310.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.036	0.0	0.026	19.556	0.022	0	0	0	0	2.79014162946	0	1.4	1
115447.87+385032.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.027	0.0	0.019	18.518	0.013	0	0	0	0	1.8898452739	0	1.4	1
115449.36+180204.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.746	0.0	0.037	19.706	0.025	0	0	15.96	0.261	37.9862348476	0	1.4	1
115449.42+013443.5	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.018	17.923	0.018	0	0	15.266	0.195	1.54037424603	0	1.4	1
115451.65+172347.3	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.131	0.0	0.018	19.534	0.021	0	0	0	0	1.46024675198	0	1.4	1
115454.89+374102.7	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.018	18.725	0.023	0	0	0	0	1.48056080782	0	1.4	1
115455.09+014200.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.027	0.0	0.025	17.956	0.019	0	0	17.18	17.18	31.3347510694	0	1.4	1
115504.07+034850.4	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.026	0.0	0.015	17.69	0.016	0	0	14.783	0.142	2.91089304816	0	1.4	1
115507.34+431621.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.034	0.0	0.021	18.683	0.023	0	0	16.187	0.277	16.399335428	0	1.4	1
115507.60+520129.6	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.028	0.0	0.033	17.253	0.015	0	0	13.915	0.053	1.8198108453	0	1.4	1
115510.11+344509.8	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.057	0.0	0.032	19.746	0.019	0	0	15.666	0.208	4.88007221725	0	1.4	1
115518.29+193942.2	Quasar (OPTICAL Sel.)	SDSS_DR7	0	0	0.0	0.023	0.0	0.026	16.513	0.017	0	0	14.281	0.068	66.317210303	0	1.4	1
